abilities	against_bug	against_dark	against_dragon	against_electric	against_fairy	against_fight	against_fire	against_flying	against_ghost	against_grass	against_ground	against_ice	against_normal	against_poison	against_psychic	against_rock	against_steel	against_water	attack	base_egg_steps	base_happiness	base_total	capture_rate	classfication	defense	experience_growth	hp	japanese_name	name	pokedex_number	sp_attack	sp_defense	speed	type1	generation	is_legendary
"['Limber', 'Technician', 'Unnerve', 'Fur Coat', 'Technician', 'Rattled']"	1	1	1	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1	60	5120	70	440	90	Classy Cat Pokmon	60	1000000	65	Persian?y???V?A??	Persian	53	75	65	115	normal	1	0
"['Damp', 'Cloud Nine', 'Swift Swim']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	52	5120	70	320	190	Duck Pokmon	48	1000000	50	Koduck?R?_?b?N	Psyduck	54	65	50	55	water	1	0
"['Damp', 'Cloud Nine', 'Swift Swim']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	82	5120	70	500	75	Duck Pokmon	78	1000000	80	Golduck?S???_?b?N	Golduck	55	95	80	85	water	1	0
"['Vital Spirit', 'Anger Point', 'Defiant']"	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	80	5120	70	305	190	Pig Monkey Pokmon	35	1000000	40	Mankey?}???L?[	Mankey	56	35	45	70	fighting	1	0
"['Vital Spirit', 'Anger Point', 'Defiant']"	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	105	5120	70	455	75	Pig Monkey Pokmon	60	1000000	65	Okorizaru?I?R???U??	Primeape	57	60	70	95	fighting	1	0
"['Intimidate', 'Flash Fire', 'Justified']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	70	5120	70	350	190	Puppy Pokmon	45	1250000	55	Gardie?K?[?f?B	Growlithe	58	70	50	60	fire	1	0
"['Intimidate', 'Flash Fire', 'Justified']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	110	5120	70	555	75	Legendary Pokmon	80	1250000	90	Windie?E?C???f?B	Arcanine	59	100	80	95	fire	1	0
"['Water Absorb', 'Damp', 'Swift Swim']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	50	5120	70	300	255	Tadpole Pokmon	40	1059860	40	Nyoromo?j??????	Poliwag	60	40	40	90	water	1	0
"['Water Absorb', 'Damp', 'Swift Swim']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	65	5120	70	385	120	Tadpole Pokmon	65	1059860	65	Nyorozo?j?????]	Poliwhirl	61	50	50	90	water	1	0
"['Water Absorb', 'Damp', 'Swift Swim']"	0.5	0.5	1	2	2	1	0.5	2	1	2	1	0.5	1	1	2	0.5	0.5	0.5	95	5120	70	510	45	Tadpole Pokmon	95	1059860	90	Nyorobon?j?????{??	Poliwrath	62	70	90	70	water	1	0
"['Synchronize', 'Inner Focus', 'Magic Guard']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	20	5120	70	310	200	Psi Pokmon	15	1059860	25	Casey?P?[?V?B	Abra	63	105	55	90	psychic	1	0
"['Synchronize', 'Inner Focus', 'Magic Guard']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	35	5120	70	400	100	Psi Pokmon	30	1059860	40	Yungerer?????Q???[	Kadabra	64	120	70	105	psychic	1	0
"['Synchronize', 'Inner Focus', 'Magic Guard']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	50	5120	70	600	50	Psi Pokmon	65	1059860	55	Foodin?t?[?f?B??	Alakazam	65	175	105	150	psychic	1	0
"['Guts', 'No Guard', 'Steadfast']"	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	80	5120	70	305	180	Superpower Pokmon	50	1059860	70	Wanriky???????L?[	Machop	66	35	35	35	fighting	1	0
"['Guts', 'No Guard', 'Steadfast']"	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	100	5120	70	405	90	Superpower Pokmon	70	1059860	80	Goriky?S?[???L?[	Machoke	67	50	60	45	fighting	1	0
"['Guts', 'No Guard', 'Steadfast']"	0.5	0.5	1	1	2	1	1	2	1	1	1	1	1	1	2	0.5	1	1	130	5120	70	505	45	Superpower Pokmon	80	1059860	90	Kairiky?J?C???L?[	Machamp	68	65	85	55	fighting	1	0
"['Chlorophyll', 'Gluttony']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	75	5120	70	300	255	Flower Pokmon	35	1059860	50	Madatsubomi?}?_?c?{?~	Bellsprout	69	70	30	40	grass	1	0
"['Chlorophyll', 'Gluttony']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	90	5120	70	390	120	Flycatcher Pokmon	50	1059860	65	Utsudon?E?c?h??	Weepinbell	70	85	45	55	grass	1	0
"['Chlorophyll', 'Gluttony']"	1	1	1	0.5	0.5	0.5	2	2	1	0.25	1	2	1	1	2	1	1	0.5	105	5120	70	490	45	Flycatcher Pokmon	65	1059860	80	Utsubot?E?c?{?b?g	Victreebel	71	100	70	70	grass	1	0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']"	0.5	1	1	2	0.5	0.5	0.5	1	1	1	2	0.5	1	0.5	2	1	0.5	0.5	40	5120	70	335	190	Jellyfish Pokmon	35	1250000	40	Menokurage???m?N???Q	Tentacool	72	50	100	70	water	1	0
"['Clear Body', 'Liquid Ooze', 'Rain Dish']"	0.5	1	1	2	0.5	0.5	0.5	1	1	1	2	0.5	1	0.5	2	1	0.5	0.5	70	5120	70	515	60	Jellyfish Pokmon	65	1250000	80	Dokukurage?h?N?N???Q	Tentacruel	73	80	120	100	water	1	0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	80	3840	70	300	255	Rock Pokmon	100	1059860	40	Isitsubute?C?V?c?u?e	Geodude	74	30	30	20	rock	1	0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	95	3840	70	390	120	Rock Pokmon	115	1059860	55	Golone?S???[??	Graveler	75	45	45	35	rock	1	0
"['Rock Head', 'Sturdy', 'Sand Veil', 'Magnet Pull', 'Sturdy', 'Galvanize']"	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	120	3840	70	495	45	Megaton Pokmon	130	1059860	80	Golonya?S???[?j??	Golem	76	55	65	45	rock	1	0
"['Run Away', 'Flash Fire', 'Flame Body']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	85	5120	70	410	190	Fire Horse Pokmon	55	1000000	50	Ponyta?|?j?[?^	Ponyta	77	65	65	90	fire	1	0
"['Run Away', 'Flash Fire', 'Flame Body']"	0.5	1	1	1	0.5	1	0.5	1	1	0.5	2	0.5	1	1	1	2	0.5	2	100	5120	70	500	60	Fire Horse Pokmon	70	1000000	65	Gallop?M?????b?v	Rapidash	78	80	80	105	fire	1	0
"['Oblivious', 'Own Tempo', 'Regenerator']"	2	2	1	2	1	0.5	0.5	1	2	2	1	0.5	1	1	0.5	1	0.5	0.5	65	5120	70	315	190	Dopey Pokmon	65	1000000	90	Yadon???h??	Slowpoke	79	40	40	15	water	1	0
"['Oblivious', 'Own Tempo', 'Regenerator']"	2	2	1	2	1	0.5	0.5	1	2	2	1	0.5	1	1	0.5	1	0.5	0.5	75	5120	70	590	75	Hermit Crab Pokmon	180	1000000	95	Yadoran???h????	Slowbro	80	130	80	30	water	1	0
"['Magnet Pull', 'Sturdy', 'Analytic']"	0.5	1	0.5	0.5	0.5	2	2	0.25	1	0.5	4	0.5	0.5	0	0.5	0.5	0.25	1	35	5120	70	325	190	Magnet Pokmon	70	1000000	25	Coil?R?C??	Magnemite	81	95	55	45	electric	1	0
"['Magnet Pull', 'Sturdy', 'Analytic']"	0.5	1	0.5	0.5	0.5	2	2	0.25	1	0.5	4	0.5	0.5	0	0.5	0.5	0.25	1	60	5120	70	465	60	Magnet Pokmon	95	1000000	50	Rarecoil???A?R?C??	Magneton	82	120	70	70	electric	1	0
"['Keen Eye', 'Inner Focus', 'Defiant']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	90	5120	70	377	45	Wild Duck Pokmon	55	1000000	52	Kamonegi?J???l?M	Farfetch'd	83	58	62	60	normal	1	0
"['Run Away', 'Early Bird', 'Tangled Feet']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	85	5120	70	310	190	Twin Bird Pokmon	45	1000000	35	Dodo?h?[?h?[	Doduo	84	35	35	75	normal	1	0
"['Run Away', 'Early Bird', 'Tangled Feet']"	0.5	1	1	2	1	1	1	1	0	0.5	0	2	1	1	1	2	1	1	110	5120	70	470	45	Triple Bird Pokmon	70	1000000	60	Dodorio?h?[?h???I	Dodrio	85	60	60	110	normal	1	0
"['Thick Fat', 'Hydration', 'Ice Body']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	45	5120	70	325	190	Sea Lion Pokmon	55	1000000	65	Pawou?p?E???E	Seel	86	45	70	45	water	1	0
"['Thick Fat', 'Hydration', 'Ice Body']"	1	1	1	2	1	2	1	1	1	2	1	0.25	1	1	1	2	1	0.5	70	5120	70	475	75	Sea Lion Pokmon	80	1000000	90	Jugon?W???S??	Dewgong	87	70	95	70	water	1	0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	80	5120	70	325	190	Sludge Pokmon	50	1000000	80	Betbeter?x?g?x?^?[	Grimer	88	40	50	25	poison	1	0
"['Stench', 'Sticky Hold', 'Poison Touch', 'Poison Touch', 'Gluttony', 'Power of Alchemy']"	0.5	1	1	1	0.5	0.5	1	1	1	0.5	2	1	1	0.5	2	1	1	1	105	5120	70	500	75	Sludge Pokmon	75	1000000	105	Betbeton?x?g?x?g??	Muk	89	65	100	50	poison	1	0
"['Shell Armor', 'Skill Link', 'Overcoat']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	65	5120	70	305	190	Bivalve Pokmon	100	1250000	30	Shellder?V?F???_?[	Shellder	90	45	25	40	water	1	0
"['Shell Armor', 'Skill Link', 'Overcoat']"	1	1	1	2	1	2	1	1	1	2	1	0.25	1	1	1	2	1	0.5	95	5120	70	525	60	Bivalve Pokmon	180	1250000	50	Parshen?p???V?F??	Cloyster	91	85	45	70	water	1	0
['Levitate']	0.25	2	1	1	0.5	0	1	1	2	0.5	2	1	0	0.25	2	1	1	1	35	5120	70	310	190	Gas Pokmon	30	1059860	30	Ghos?S?[?X	Gastly	92	100	35	80	ghost	1	0
['Levitate']	0.25	2	1	1	0.5	0	1	1	2	0.5	2	1	0	0.25	2	1	1	1	50	5120	70	405	90	Gas Pokmon	45	1059860	45	Ghost?S?[?X?g	Haunter	93	115	55	95	ghost	1	0
['Cursed Body']	0.25	2	1	1	0.5	0	1	1	2	0.5	2	1	0	0.25	2	1	1	1	65	5120	70	600	45	Shadow Pokmon	80	1059860	60	Gangar?Q???K?[	Gengar	94	170	95	130	ghost	1	0
"['Rock Head', 'Sturdy', 'Weak Armor']"	1	1	1	0	1	2	0.5	0.5	1	4	2	2	0.5	0.25	1	0.5	2	4	45	6400	70	385	45	Rock Snake Pokmon	160	1000000	35	Iwark?C???[?N	Onix	95	30	45	70	rock	1	0
"['Insomnia', 'Forewarn', 'Inner Focus']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	48	5120	70	328	190	Hypnosis Pokmon	45	1000000	60	Sleepe?X???[?v	Drowzee	96	43	90	42	psychic	1	0
"['Insomnia', 'Forewarn', 'Inner Focus']"	2	2	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	1	1	73	5120	70	483	75	Hypnosis Pokmon	70	1000000	85	Sleeper?X???[?p?[	Hypno	97	73	115	67	psychic	1	0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	105	5120	70	325	225	River Crab Pokmon	90	1000000	30	Crab?N???u	Krabby	98	25	25	50	water	1	0
"['Hyper Cutter', 'Shell Armor', 'Sheer Force']"	1	1	1	2	1	1	0.5	1	1	2	1	0.5	1	1	1	1	0.5	0.5	130	5120	70	475	60	Pincer Pokmon	115	1000000	55	Kingler?L???O???[	Kingler	99	50	50	75	water	1	0
"['Soundproof', 'Static', 'Aftermath']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	30	5120	70	330	190	Ball Pokmon	50	1000000	40	Biriridama?r?????_?}	Voltorb	100	55	55	100	electric	1	0
"['Soundproof', 'Static', 'Aftermath']"	1	1	1	0.5	1	1	1	0.5	1	1	2	1	1	1	1	1	0.5	1	50	5120	70	490	60	Ball Pokmon	70	1000000	60	Marumine?}???}?C??	Electrode	101	80	80	150	electric	1	0
